"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\public\index.html", "HTML", 13, 1, 5, 19
"Total", "-", 13, 1, 5, 19
